SGDNesterov,1.6501,1.3109,1.1713,1.0815,1.009,0.9632,0.9185,0.889,0.8556,0.8248,0.8041,0.7812,0.7619,0.7395,0.7197,0.7067,0.6975,0.676,0.6638,0.6527
SGDNesterov_Dropout,1.7692,1.4656,1.3655,1.2883,1.2172,1.1689,1.1224,1.0789,1.047,1.0221,0.9937,0.9641,0.9495,0.9396,0.9141,0.8931,0.8859,0.8704,0.8636,0.8463
Adagrad,2.3018,2.2993,2.2957,2.2889,2.274,2.2352,2.1383,2.0526,2.0121,1.9801,1.9495,1.9177,1.8842,1.8507,1.8183,1.7899,1.765,1.7429,1.723,1.7045
Adagrad_Dropout,2.3014,2.2991,2.2957,2.2898,2.277,2.2461,2.1804,2.101,2.049,2.0134,1.9783,1.9458,1.9151,1.8849,1.8589,1.8373,1.8188,1.8016,1.7881,1.7756
RMSProp,1.7874,1.4094,1.242,1.1345,1.0513,0.9905,0.9408,0.8981,0.8626,0.8294,0.8003,0.7772,0.7511,0.7298,0.7042,0.6856,0.6697,0.6503,0.6348,0.6171
RMSProp_Dropout,1.8594,1.4997,1.3529,1.246,1.1695,1.1079,1.0628,1.0261,0.9832,0.9564,0.9341,0.9181,0.8904,0.8709,0.8567,0.8368,0.8295,0.8087,0.7999,0.788
AdaDelta,2.3028,2.302,2.3013,2.3007,2.3,2.2993,2.2985,2.2977,2.2968,2.2957,2.2946,2.2932,2.2916,2.2898,2.2876,2.285,2.282,2.2785,2.2744,2.2696
AdaDelta_dropout,2.3019,2.3015,2.301,2.3006,2.3,2.2994,2.2988,2.2983,2.2975,2.2969,2.2961,2.2954,2.2945,2.2936,2.2925,2.2913,2.2901,2.2887,2.287,2.2854
Adam,2.132,1.5796,1.2903,1.1329,1.021,0.9396,0.8799,0.8345,0.7895,0.7602,0.7363,0.7091,0.6767,0.6631,0.6442,0.6144,0.5952,0.5857,0.5635,0.5526
Adam_Dropout,2.2271,1.8235,1.549,1.395,1.2832,1.1976,1.1256,1.0786,1.0265,0.9901,0.9535,0.9213,0.8979,0.8619,0.8477,0.8295,0.81,0.7874,0.7694,0.7553
