SGDNesterov_Dropout,0.5988,0.4412,0.4078,0.3875,0.3709,0.3646,0.3539,0.3461,0.3373,0.3277,0.3189,0.3150,0.3135,0.3062,0.2976,0.2959,0.2921,0.2877,0.2857,0.2798
SGDNesterov,0.5141,0.3587,0.3300,0.3060,0.2854,0.2671,0.2559,0.2436,0.2351,0.2259,0.2216,0.2095,0.2018,0.1960,0.1890,0.1842,0.1763,0.1712,0.1644,0.1609
Adagrad_Dropout,1.0641,0.6989,0.6279,0.5909,0.5684,0.5516,0.5371,0.5240,0.5134,0.5076,0.4978,0.4925,0.4886,0.4809,0.4756,0.4704,0.4670,0.4629,0.4622,0.4573
Adagrad,0.9194,0.5839,0.5178,0.4838,0.4622,0.4460,0.4343,0.4239,0.4156,0.4082,0.4019,0.3962,0.3908,0.3863,0.3818,0.3777,0.3740,0.3700,0.3671,0.3638
RMSProp_Dropout,0.5681,0.4830,0.4677,0.4656,0.4643,0.4733,0.4784,0.4766,0.4768,0.4896,0.4987,0.5108,0.5086,0.5166,0.51820.5187,0.5243,0.5257,0.5358,0.5366
RMSProp,0.5040,0.3958,0.3705,0.3569,0.3477,0.3435,0.3401,0.3305,0.3270,0.3217,0.3251,0.3211,0.3213,0.3205,0.3241,0.3186,0.3165,0.3184,0.3097,0.3156
AdaDelta_Dropout,1.9691,1.4477,1.1586,1.0054,0.9187,0.8575,0.8183,0.7859,0.7609,0.7393,0.7222,0.7042,0.6923,0.6824,0.6706,0.6595,0.6522,0.6427,0.6356,0.6306
AdaDelta,1.7745,1.1473,0.9100,0.8009,0.7366,0.6925,0.6593,0.6331,0.6119,0.5940,0.5786,0.5654,0.5537,0.5434,0.5342,0.5259,0.5183,0.5115,0.5051,0.4994
Adam_Dropout,0.5284,0.4279,0.3972,0.3807,0.3663,0.3537,0.3471,0.3430,0.3329,0.3303,0.3255,0.3214,0.3207,0.3219,0.3139,0.3124,0.3086,0.3097,0.3063,0.3008
Adam,0.4665,0.3561,0.3216,0.2957,0.2780,0.2631,0.2520,0.2398,0.2314,0.2200,0.2117,0.2035,0.1967,0.1900,0.1823,0.1776,0.1684,0.1647,0.1589,0.1562
